variable_0,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6,variable_7,variable_8,variable_9,variable_10,variable_11,variable_12,variable_13,variable_14,variable_15,variable_16,variable_17,State,ID,target
54,2.62,6.37,0,1,9.7,32.39,259.7,2,22.07,190.5,0,141.5,108,108,111,415,2,NC,806,1
92,2.32,9.5,0,0,8.6,45.15,180.7,2,15.36,265.6,0,211.1,75,82,113,408,1,NY,807,0
76,2.57,1.04,22,0,9.5,27.22,168.7,4,14.34,160.1,1,23.2,136,107,102,415,3,AK,808,0
75,4.43,6.08,0,0,16.4,25.08,191.7,3,16.29,147.5,0,135.0,97,110,68,408,2,SD,809,0
75,3.54,9.71,19,0,13.1,35.75,241.8,3,20.55,210.3,1,215.7,87,90,102,415,4,CA,810,0
119,2.43,8.78,0,0,9.0,50.01,232.5,1,19.76,294.2,0,195.0,53,100,64,408,0,CT,811,1
27,2.27,6.56,0,0,8.4,34.2,227.2,3,19.31,201.2,0,145.8,100,128,91,408,2,NC,812,0
51,3.81,9.64,0,1,14.1,26.11,232.9,4,19.8,153.6,0,214.2,85,108,92,415,0,DE,813,1
89,3.0,5.56,19,1,11.1,19.14,261.7,2,22.24,112.6,1,123.5,132,114,116,415,0,IL,814,1
154,2.75,9.26,0,0,10.2,32.54,205.4,3,17.46,191.4,0,205.7,119,93,121,415,3,NE,815,0
132,1.13,11.1,0,0,4.2,30.79,314.4,9,26.72,181.1,0,246.7,109,121,81,510,2,AK,816,0
95,3.83,7.71,0,0,14.2,39.08,202.4,6,17.2,229.9,0,171.4,110,116,105,415,1,AL,817,0
94,2.67,10.15,28,0,9.9,15.76,127.8,4,10.86,92.7,1,225.6,86,107,86,415,3,WV,818,0
169,2.57,8.71,0,0,9.5,17.14,230.0,2,19.55,100.8,0,193.6,69,112,95,415,0,MT,819,0
73,3.0,8.61,0,0,11.1,23.31,210.8,4,17.92,137.1,0,191.4,114,102,120,415,1,IA,820,0
127,1.59,9.32,0,0,5.9,45.32,264.8,2,22.51,266.6,0,207.2,168,106,119,415,1,FL,821,1
114,2.59,6.0,0,0,9.6,32.81,250.0,2,21.25,193.0,0,133.3,81,101,79,408,2,NC,822,0
64,2.7,7.26,0,0,10.0,37.26,167.0,5,14.2,219.2,0,161.4,65,73,119,510,1,NE,823,0
103,2.62,9.97,0,0,9.7,29.5,244.3,2,20.77,173.5,0,221.6,65,83,66,415,3,NM,824,0
121,2.48,7.61,0,0,9.2,25.62,197.3,15,16.77,150.7,0,169.0,133,105,116,408,1,KS,825,0
117,3.11,8.33,0,0,11.5,24.36,211.3,3,17.96,143.3,0,185.2,108,103,96,415,1,NM,826,0
106,2.97,6.52,0,0,11.0,31.81,250.2,3,21.27,187.1,0,144.9,117,104,81,415,1,MT,827,0
127,3.29,11.93,19,0,12.2,22.05,160.8,3,13.67,129.7,1,265.0,101,115,63,510,2,MA,828,0
140,3.0,8.3,28,0,11.1,26.71,172.4,9,14.65,157.1,1,184.5,97,77,94,510,1,SC,829,0
95,2.21,8.53,0,0,8.2,24.23,176.1,3,14.97,142.5,0,189.6,107,109,88,510,2,NH,830,0
68,2.54,7.31,0,0,9.4,37.76,199.4,3,16.95,222.1,0,162.4,102,107,107,415,2,IN,831,0
177,3.38,9.55,0,0,12.5,39.58,175.2,7,14.89,232.8,0,212.2,97,106,77,415,2,ME,832,0
122,3.65,7.41,33,0,13.5,29.73,248.2,3,21.1,174.9,1,164.6,105,103,116,408,1,NM,833,1
141,2.73,9.87,32,0,10.1,25.26,131.1,1,11.14,148.6,1,219.4,97,91,142,415,1,CO,834,0
68,1.65,9.37,34,0,6.1,27.2,184.5,10,15.68,160.0,1,208.3,119,72,101,415,1,MS,835,0
93,3.24,11.81,0,0,12.0,25.86,215.5,7,18.32,152.1,0,262.4,107,141,111,415,1,WI,836,0
123,4.05,7.82,27,0,15.0,37.18,163.4,1,13.89,218.7,1,173.8,78,79,116,415,0,RI,837,0
67,3.56,9.89,31,0,13.2,29.78,199.2,6,16.93,175.2,1,219.8,73,68,99,510,1,NE,838,0
57,2.73,11.41,0,0,10.1,26.21,196.7,9,16.72,154.2,0,253.5,85,78,97,510,1,MA,839,0
172,3.24,7.58,0,0,12.0,45.9,256.6,5,21.81,270.0,0,168.5,111,102,104,408,2,AL,840,1
41,3.32,10.07,0,0,12.3,38.05,244.8,5,20.81,223.8,0,223.8,74,67,156,510,3,WY,841,0
80,2.89,6.78,31,0,10.7,28.29,238.3,4,20.26,166.4,1,150.7,74,92,84,408,4,ME,842,0
161,4.35,9.27,38,0,16.1,40.87,201.8,6,17.15,240.4,1,206.1,102,112,112,510,0,IN,843,0
195,1.38,8.28,0,0,5.1,10.74,220.2,3,18.72,63.2,0,184.0,88,108,99,415,0,UT,844,0
113,2.0,11.07,0,0,7.4,35.6,347.3,2,29.52,209.4,0,246.0,113,151,116,415,1,IN,845,1
74,2.05,12.62,0,0,7.6,26.71,213.1,3,18.11,157.1,0,280.4,36,95,77,408,2,CT,846,0
112,2.32,6.34,0,0,8.6,13.87,268.1,18,22.79,81.6,0,140.8,112,94,75,415,1,NM,847,0
156,4.0,10.99,27,0,14.8,32.69,199.9,8,16.99,192.3,1,244.2,115,137,112,408,1,NJ,848,0
134,3.19,14.32,0,0,11.8,41.21,152.9,6,13.0,242.4,0,318.3,115,126,115,408,1,HI,849,0
140,2.54,7.74,0,0,9.4,22.03,246.2,10,20.93,129.6,0,172.1,99,79,124,415,3,WI,850,0
82,3.35,7.88,0,1,12.4,35.5,213.7,6,18.16,208.8,0,175.1,87,101,86,510,3,UT,851,0
98,0.0,11.02,21,0,0.0,10.98,176.1,0,14.97,64.6,1,244.8,86,98,84,408,2,IN,852,0
77,3.05,9.89,17,0,11.3,34.83,201.0,5,17.09,204.9,1,219.7,102,84,97,408,0,MA,853,0
76,2.16,10.38,0,0,8.0,31.64,211.6,4,17.99,186.1,0,230.6,100,96,100,510,0,IL,854,0
148,3.0,9.15,0,1,11.1,37.21,208.0,4,17.68,218.9,0,203.3,85,88,99,510,0,HI,855,0
90,3.81,12.23,0,0,14.1,19.24,189.3,4,16.09,113.2,0,271.8,63,108,124,415,3,GA,856,0
35,3.54,6.11,0,0,13.1,21.11,123.9,8,10.53,124.2,0,135.7,115,102,100,415,2,HI,857,0
105,3.97,9.97,0,0,14.7,35.89,176.7,7,15.02,211.1,0,221.5,66,99,96,415,4,HI,858,0
117,2.73,13.46,0,0,10.1,17.48,206.7,7,17.57,102.8,0,299.0,91,119,105,415,1,NE,859,0
62,2.92,8.13,0,0,10.8,32.22,103.8,5,8.82,189.5,0,180.6,95,122,106,415,2,WV,860,0
115,4.43,11.07,0,0,16.4,30.38,271.0,5,23.04,178.7,0,245.9,96,114,94,408,2,DC,861,0
79,1.81,10.17,0,0,6.7,34.97,214.5,18,18.23,205.7,0,226.1,108,123,106,408,1,ND,862,0
123,4.16,4.9,39,0,15.4,45.97,245.1,7,20.83,270.4,1,108.9,110,99,113,408,1,OH,863,0
90,2.05,7.69,0,0,7.6,41.89,160.3,7,13.63,246.4,0,170.9,88,83,99,415,1,WY,864,0
204,3.81,8.61,0,0,14.1,34.88,154.8,5,13.16,205.2,0,191.4,95,145,77,510,3,MD,865,0
79,2.27,10.94,0,0,8.4,24.99,165.7,9,14.08,147.0,0,243.2,102,72,107,510,1,OK,866,0
66,2.3,10.86,40,0,8.5,24.09,268.3,7,22.81,141.7,1,241.3,89,87,68,408,0,CO,867,0
130,2.86,7.65,0,0,10.6,36.18,189.8,4,16.13,212.8,0,170.1,137,102,105,415,0,SC,868,1
78,2.75,5.83,0,0,10.2,32.83,172.1,1,14.63,193.1,0,129.6,105,85,119,415,0,UT,869,0
110,3.35,8.71,0,0,12.4,25.25,276.4,3,23.49,148.5,0,193.6,84,115,112,510,1,DE,870,0
124,2.7,8.2,0,0,10.0,32.52,261.5,3,22.23,191.3,0,182.3,113,134,111,510,1,NE,871,0
74,2.24,11.59,0,0,8.3,29.6,251.1,5,21.34,174.1,0,257.6,94,96,123,408,2,MT,872,1
184,3.73,8.64,0,0,13.8,40.19,287.3,4,24.42,236.4,0,192.0,120,73,94,415,1,MT,873,1
105,2.4,15.06,20,0,8.9,31.77,256.3,2,21.79,186.9,1,334.7,91,114,104,415,1,NH,874,0
72,3.97,6.88,37,0,14.7,37.4,217.3,6,18.47,220.0,1,152.8,102,80,71,415,3,GA,875,0
116,2.13,8.38,0,0,7.9,18.85,213.4,2,18.14,110.9,0,186.2,82,54,116,408,2,NV,876,0
39,3.11,9.2,0,0,11.5,50.22,232.1,2,19.73,295.4,0,204.4,117,126,123,415,1,KY,877,1
85,2.59,15.71,0,1,9.6,28.12,196.0,7,16.66,165.4,0,349.2,126,107,110,408,2,WI,878,0
94,4.21,12.58,0,0,15.6,14.6,226.7,16,19.27,85.9,0,279.6,91,113,110,415,0,WV,879,0
163,3.46,9.17,0,0,12.8,34.49,178.6,3,15.18,202.9,0,203.8,46,100,116,415,5,VA,880,0
95,2.62,8.87,0,0,9.7,29.58,281.1,2,23.89,174.0,0,197.2,118,57,94,510,0,TN,881,0
23,4.05,9.89,0,0,15.0,32.33,166.4,4,14.14,190.2,0,219.8,108,89,73,408,6,CO,882,0
126,2.59,6.95,26,1,9.6,21.98,176.5,7,15.0,129.3,1,154.5,114,123,102,415,1,MI,883,0
79,1.13,6.61,32,0,4.2,8.6,201.4,4,17.12,50.6,1,146.8,87,62,121,408,2,MN,884,0
66,2.16,10.42,29,0,8.0,39.0,257.4,1,21.88,229.4,1,231.5,84,104,119,415,2,CT,885,0
88,2.84,9.91,0,0,10.5,30.86,187.0,7,15.9,181.5,0,220.3,119,116,96,415,1,TN,886,0
135,3.48,9.59,0,1,12.9,31.62,66.0,4,5.61,186.0,0,213.1,94,107,105,415,1,CT,887,0
46,2.75,9.48,0,0,10.2,33.86,175.1,2,14.88,199.2,0,210.6,83,111,84,510,3,IA,888,0
79,4.0,11.55,34,0,14.8,17.63,236.3,4,20.09,103.7,1,256.6,78,100,102,415,2,DE,889,0
75,2.35,9.36,0,1,8.7,37.81,327.0,9,27.8,222.4,0,208.0,111,78,104,415,1,TX,890,1
217,3.59,12.13,0,0,13.3,21.03,248.5,4,21.12,123.7,0,269.6,105,138,78,415,0,DC,891,0
158,0.0,10.59,0,0,0.0,29.31,256.6,0,21.81,172.4,0,235.3,69,114,104,408,2,NM,892,0
199,2.16,13.47,34,0,8.0,39.2,219.4,2,18.65,230.6,1,299.3,99,121,94,415,0,CT,893,0
97,3.46,8.64,0,0,12.8,28.85,165.9,6,14.1,169.7,0,191.9,86,84,83,408,3,AZ,894,0
110,4.0,4.93,0,0,14.8,3.21,258.4,4,21.96,18.9,0,109.6,81,92,74,510,1,MI,895,0
129,1.59,11.85,33,0,5.9,20.33,278.7,2,23.69,119.6,1,263.4,88,104,175,415,2,RI,896,0
151,3.35,12.11,0,1,12.4,37.06,114.4,1,9.72,218.0,0,269.2,88,57,95,415,0,CA,897,1
181,1.62,10.05,0,0,6.0,24.36,195.5,7,16.62,143.3,0,223.3,58,91,95,408,1,NY,898,0
61,2.67,6.03,25,0,9.9,27.83,113.2,3,9.62,163.7,1,134.1,112,78,118,408,3,UT,899,0
142,2.38,10.86,22,0,8.8,38.15,146.0,2,12.41,224.4,1,241.4,106,114,98,510,1,OR,900,0
41,4.64,7.21,34,0,17.2,33.05,254.9,9,21.67,194.4,1,160.2,110,63,115,510,2,AL,901,0
132,2.62,5.63,0,0,9.7,16.92,129.1,3,10.97,99.5,0,125.1,80,110,124,510,0,NE,902,0
111,3.62,7.47,36,0,13.4,16.46,170.6,4,14.5,96.8,1,166.0,105,123,85,415,2,MS,903,0
148,3.05,11.32,0,0,11.3,14.67,246.6,4,20.96,86.3,0,251.6,92,134,91,415,1,OR,904,0
66,2.11,10.35,0,0,7.8,24.89,196.5,2,16.7,146.4,0,230.1,99,107,106,415,1,DC,905,0
123,0.78,9.92,33,0,2.9,24.92,114.8,7,9.76,146.6,1,220.4,59,87,99,415,0,LA,906,0
97,3.27,12.59,0,0,12.1,36.6,242.4,9,20.6,215.3,0,279.8,91,58,105,415,0,CT,907,0
84,2.3,8.39,0,0,8.5,30.86,130.7,4,11.11,181.5,0,186.5,112,129,118,510,1,IL,908,0
88,2.13,8.29,0,0,7.9,22.36,174.8,2,14.86,131.5,0,184.2,128,99,83,510,5,WV,909,1
172,3.43,17.77,0,0,12.7,28.87,183.1,7,15.56,169.8,0,395.0,94,123,72,510,2,VA,910,0
146,2.11,7.63,31,0,7.8,34.43,241.4,2,20.52,202.5,1,169.6,108,91,77,408,1,OH,911,0
102,3.24,13.69,0,0,12.0,19.52,81.9,4,6.96,114.8,0,304.3,126,125,101,415,0,OH,912,0
3,3.81,7.67,0,0,14.1,31.45,203.7,3,17.31,185.0,0,170.5,129,120,89,415,3,TN,913,0
56,3.19,8.43,0,0,11.8,27.93,233.7,1,19.86,164.3,0,187.3,107,92,104,510,2,ND,914,0
91,2.59,4.71,31,0,9.6,46.41,215.5,2,18.32,273.0,1,104.7,98,78,114,408,1,OK,915,0
64,3.32,6.76,27,0,12.3,34.22,143.8,3,12.22,201.3,1,150.2,89,101,127,415,1,DE,916,0
123,3.48,7.66,0,0,12.9,20.94,190.0,5,16.15,123.2,0,170.3,117,104,95,415,4,NY,917,1
27,2.05,8.68,0,0,7.6,30.19,296.8,3,25.23,177.6,0,192.9,92,121,106,510,3,NV,918,0
77,3.05,13.93,0,0,11.3,39.1,103.2,3,8.77,230.0,0,309.6,138,87,136,408,2,MS,919,0
4,2.4,9.27,0,1,8.9,24.7,303.8,4,25.82,145.3,0,206.1,93,89,82,510,0,UT,920,0
91,3.73,5.88,0,0,13.8,32.39,205.5,5,17.47,190.5,0,130.7,103,128,63,415,0,LA,921,0
132,3.4,12.24,0,0,12.6,32.62,206.9,2,17.59,191.9,0,272.0,127,107,88,510,1,OR,922,0
34,2.7,14.02,0,0,10.0,21.22,282.2,4,23.99,124.8,0,311.5,98,82,78,510,2,AR,923,0
40,1.73,9.58,0,1,6.4,37.54,265.7,3,22.58,220.8,0,212.8,106,100,94,510,0,CT,924,0
64,2.81,9.67,0,0,10.4,19.35,192.3,1,16.35,113.8,0,214.9,97,97,89,408,3,IN,925,0
67,3.08,4.28,0,1,11.4,20.55,235.0,11,19.98,120.9,0,95.1,88,58,130,415,2,OR,926,0
129,3.19,3.67,0,0,11.8,28.63,217.1,7,18.45,168.4,0,81.6,129,117,100,415,1,NJ,927,0
94,2.13,7.78,0,1,7.9,15.22,339.9,1,28.89,89.5,0,172.9,106,94,76,408,1,NV,928,1
148,2.67,9.82,26,0,9.9,26.98,160.5,3,13.64,158.7,1,218.3,127,91,88,415,1,IN,929,0
156,3.48,11.62,0,0,12.9,29.63,186.6,5,15.86,174.3,0,258.2,128,95,105,408,3,NY,930,0
95,3.78,8.17,0,0,14.0,32.33,157.1,6,13.35,190.2,0,181.5,70,119,120,408,0,AL,931,0
97,1.76,6.84,0,0,6.5,19.16,217.7,5,18.5,112.7,0,152.1,109,119,76,415,1,VT,932,0
149,3.86,8.58,20,0,14.3,33.81,274.0,9,23.29,198.9,1,190.7,88,77,76,415,1,LA,933,0
74,3.56,12.45,27,0,13.2,26.2,195.3,2,16.6,154.1,1,276.7,150,122,86,510,4,IL,934,0
102,2.94,6.55,0,0,10.9,22.02,354.2,3,30.11,129.5,0,145.5,118,56,93,415,1,MD,935,0
84,2.4,4.44,0,0,8.9,14.62,260.7,4,22.16,86.0,0,98.6,86,83,109,408,1,WV,936,0
67,2.7,7.18,28,0,10.0,16.15,291.2,2,24.75,95.0,1,159.6,73,94,114,415,2,AL,937,0
34,3.78,9.09,0,0,14.0,21.9,208.7,7,17.74,128.8,0,202.1,93,80,103,408,1,WY,938,0
119,2.08,8.28,16,1,7.7,25.02,160.1,2,13.61,147.2,1,184.0,96,103,120,408,0,MA,939,1
107,2.24,12.89,38,0,8.3,34.71,205.9,4,17.5,204.2,1,286.5,92,57,80,415,0,NC,940,0
92,2.4,9.45,38,0,8.9,41.17,159.7,1,13.57,242.2,1,210.0,144,96,108,408,1,AL,941,0
105,2.92,13.48,24,0,10.8,46.7,193.5,3,16.45,274.7,1,299.6,118,99,109,415,3,KY,942,0
24,4.37,8.34,0,0,16.2,40.05,115.9,2,9.85,235.6,0,185.4,129,132,136,415,0,HI,943,0
94,2.4,11.59,0,0,8.9,45.76,193.8,2,16.47,269.2,0,257.6,144,104,61,408,3,KS,944,1
130,2.48,10.23,0,0,9.2,26.21,110.2,5,9.37,154.2,0,227.4,98,119,117,510,2,NV,945,0
169,1.76,12.36,0,1,6.5,9.71,199.7,6,16.97,57.1,0,274.7,78,98,103,415,3,DC,946,0
150,2.38,9.62,35,0,8.8,23.73,332.8,2,28.29,139.6,1,213.8,170,72,105,415,2,NY,947,0
171,2.78,11.57,0,0,10.3,32.27,173.7,1,14.76,189.8,0,257.1,85,122,84,510,0,HI,948,0
29,3.46,9.83,0,0,12.8,53.24,216.3,4,18.39,313.2,0,218.4,151,103,106,510,2,MS,949,1
78,2.46,9.16,0,0,9.1,32.59,241.4,5,20.52,191.7,0,203.5,88,122,86,415,1,MT,950,0
157,1.84,4.94,28,0,6.8,32.74,195.5,5,16.62,192.6,1,109.7,74,107,139,415,3,MI,951,0
69,3.38,11.7,0,0,12.5,33.2,216.7,4,18.42,195.3,0,259.9,108,70,119,510,3,TN,952,0
141,1.62,9.52,0,0,6.0,41.28,234.1,3,19.9,242.8,0,211.5,80,90,104,408,5,AL,953,0
166,3.13,5.05,0,0,11.6,30.84,253.8,6,21.57,181.4,0,112.3,54,108,94,408,1,HI,954,0
129,4.43,9.74,36,0,16.4,32.78,177.0,5,15.05,192.8,1,216.5,83,103,118,510,1,OR,955,0
74,2.62,9.66,0,0,9.7,50.68,201.3,4,17.11,298.1,0,214.7,100,112,88,408,2,NH,956,1
112,2.3,8.01,0,0,8.5,35.48,212.8,4,18.09,208.7,0,178.1,104,150,98,415,0,CA,957,0
166,2.94,11.07,0,0,10.9,46.63,52.9,5,4.5,274.3,0,246.1,109,110,119,408,0,WA,958,0
80,2.48,7.98,0,0,9.2,34.41,260.2,5,22.12,202.4,0,177.4,67,118,112,510,3,RI,959,0
186,2.35,6.59,0,0,8.7,23.43,187.7,6,15.95,137.8,0,146.4,118,97,85,510,1,KS,960,0
68,3.56,4.38,0,0,13.2,40.31,223.5,2,19.0,237.1,0,97.4,105,105,79,408,1,CO,961,0
114,2.27,10.46,28,0,8.4,38.39,193.0,9,16.41,225.8,1,232.4,117,94,100,510,4,RI,962,0
68,3.65,9.18,29,1,13.5,33.24,171.6,9,14.59,195.5,1,204.0,96,113,85,415,1,IL,963,1
85,3.11,9.88,0,0,11.5,29.99,224.9,1,19.12,176.4,0,219.6,123,122,50,415,1,VT,964,0
132,2.16,6.0,0,0,8.0,40.82,180.4,6,15.33,240.1,0,133.4,91,115,122,415,3,WA,965,0
93,3.54,7.46,0,0,13.1,45.22,130.1,6,11.06,266.0,0,165.8,84,120,63,415,3,KS,966,0
84,2.65,9.8,0,0,9.8,36.74,197.5,3,16.79,216.1,0,217.8,107,114,104,415,1,MN,967,0
113,2.97,12.0,0,0,11.0,25.52,200.1,3,17.01,150.1,0,266.7,85,120,105,510,2,NM,968,0
162,2.51,9.55,26,0,9.3,30.55,218.1,8,18.54,179.7,1,212.3,129,144,105,408,1,NC,969,1
108,3.4,9.72,0,0,12.6,31.86,199.9,8,16.99,187.4,0,216.1,126,101,107,510,1,SC,970,0
65,2.16,5.65,0,0,8.0,35.31,217.5,5,18.49,207.7,0,125.6,117,109,111,408,1,IN,971,0
66,2.24,11.91,0,1,8.3,35.48,173.3,3,14.73,208.7,0,264.7,88,84,107,415,3,WI,972,0
38,4.1,8.31,36,0,15.2,19.62,166.2,6,14.13,115.4,1,184.7,83,98,79,408,2,KY,973,0
123,2.7,10.17,0,0,10.0,34.75,137.5,4,11.69,204.4,0,226.0,111,88,100,415,0,IA,974,0
143,2.08,9.45,33,0,7.7,24.04,186.4,6,15.84,141.4,1,210.0,114,130,111,510,1,IA,975,0
108,2.92,8.25,41,0,10.8,29.17,136.1,7,11.57,171.6,1,183.4,78,110,103,415,0,NJ,976,0
90,3.0,9.65,42,0,11.1,32.86,263.3,4,22.38,193.3,1,214.4,85,66,97,415,0,NH,977,0
148,2.57,7.43,0,0,9.5,31.48,170.4,13,14.48,185.2,0,165.1,96,87,104,408,1,SD,978,0
93,2.81,13.05,0,0,10.4,29.41,190.4,2,16.18,173.0,0,290.0,108,131,66,415,0,MA,979,0
159,2.38,8.24,0,1,8.8,43.71,312.2,6,26.54,257.1,0,183.0,127,53,82,408,1,CO,980,1
63,3.32,8.81,34,0,12.3,25.87,227.1,5,19.3,152.2,1,195.7,91,119,103,510,1,WI,981,0
34,1.35,13.16,0,0,5.0,30.7,280.4,3,23.83,180.6,0,292.4,99,65,105,408,1,SD,982,0
106,2.38,7.29,0,0,8.8,25.14,209.3,5,17.79,147.9,0,162.1,99,97,80,415,2,HI,983,0
166,4.13,8.59,0,0,15.3,29.56,276.4,5,23.49,173.9,0,190.8,83,103,113,510,0,WI,984,0
106,3.89,8.63,0,0,14.4,35.34,172.0,7,14.62,207.9,0,191.8,109,91,143,415,4,NJ,985,0
150,3.54,10.56,0,0,13.1,24.87,202.7,3,17.23,146.3,0,234.7,95,133,103,415,1,MN,986,0
103,4.27,7.57,0,0,15.8,29.7,148.0,3,12.58,174.7,0,168.2,56,151,109,415,6,ID,987,1
90,2.59,6.15,0,0,9.6,44.51,220.6,5,18.75,261.8,0,136.6,104,128,91,415,1,UT,988,0
88,2.48,8.75,0,0,9.2,46.68,161.1,4,13.69,274.6,0,194.4,121,105,123,408,2,OH,989,0
141,2.89,6.77,0,0,10.7,14.14,190.6,7,16.2,83.2,0,150.5,104,74,79,408,1,AK,990,0
110,3.48,6.12,0,0,12.9,33.34,199.7,1,16.97,196.1,0,135.9,123,103,71,408,3,ND,991,0
43,2.16,10.24,0,0,8.0,30.48,252.7,5,21.48,179.3,0,227.5,126,97,114,415,0,AZ,992,0
72,3.19,10.93,0,0,11.8,29.84,132.3,3,11.25,175.5,0,242.9,120,103,96,415,1,NJ,993,0
112,3.05,9.0,16,0,11.3,37.67,130.2,3,11.07,221.6,1,200.0,123,110,108,415,1,DC,994,0
62,3.56,11.96,0,0,13.2,42.28,220.0,2,18.7,248.7,0,265.7,118,109,78,415,1,MN,995,1
55,4.0,10.38,0,0,14.8,48.57,230.9,7,19.63,285.7,0,230.7,106,124,140,408,0,WA,996,1
82,1.27,12.9,34,0,4.7,39.54,153.2,3,13.02,232.6,1,286.7,115,121,77,510,3,ID,997,0
107,3.4,7.19,30,0,12.6,33.81,207.0,4,17.6,198.9,1,159.8,90,87,76,510,3,MS,998,0
109,2.75,8.93,0,0,10.2,29.85,238.0,6,20.23,175.6,0,198.4,94,80,103,415,1,KY,999,0
108,1.11,9.4,0,0,4.1,19.04,193.7,4,16.46,112.0,0,208.9,110,105,93,415,4,SC,1000,1
161,2.3,6.19,0,0,8.5,30.28,146.5,2,12.45,178.1,0,137.6,86,109,78,415,1,OR,1001,0
90,2.08,6.48,30,0,7.7,31.25,229.7,3,19.52,183.8,1,144.1,95,76,124,408,1,CO,1002,0
87,1.43,7.54,0,0,5.3,24.87,171.8,9,14.6,146.3,0,167.5,102,108,66,415,1,UT,1003,0
48,2.05,9.81,34,0,7.6,33.66,273.7,4,23.26,198.0,1,217.9,121,70,71,415,1,WV,1004,0
91,2.73,3.71,0,0,10.1,27.03,255.1,4,21.68,159.0,0,82.4,142,109,73,510,0,NE,1005,0
119,1.78,6.41,26,0,6.6,27.42,250.3,8,21.28,161.3,1,142.4,110,97,92,415,1,WA,1006,0
46,3.54,9.0,0,0,13.1,35.73,227.3,7,19.32,210.2,0,200.1,77,92,116,408,1,NE,1007,0
77,3.11,9.34,28,0,11.5,23.1,244.5,3,20.78,135.9,1,207.5,102,117,74,510,4,SC,1008,1
113,1.76,11.15,0,0,6.5,27.01,242.8,4,20.64,158.9,0,247.8,109,137,97,408,0,MN,1009,0
52,1.89,7.92,0,0,7.0,26.35,133.4,4,11.34,155.0,0,176.1,104,110,84,415,4,TX,1010,1
232,3.19,5.32,0,0,11.8,28.15,195.9,3,16.65,165.6,0,118.3,115,104,77,408,1,NM,1011,0
121,0.78,11.98,0,0,2.9,28.71,123.9,7,10.53,168.9,0,266.3,99,128,105,415,2,AL,1012,0
68,3.27,5.84,0,0,12.1,25.3,246.5,3,20.95,148.8,0,129.8,164,70,103,415,3,WI,1013,0
89,3.46,10.23,0,0,12.8,33.51,165.9,3,14.1,197.1,0,227.3,115,110,106,408,1,DE,1014,0
103,2.86,11.01,37,0,10.6,26.1,241.9,3,20.56,153.5,1,244.7,108,78,110,415,1,CO,1015,0
86,3.21,4.27,33,0,11.9,43.03,210.1,4,17.86,253.1,1,95.0,94,112,98,415,3,OK,1016,0
37,3.78,9.74,0,0,14.0,32.54,167.4,5,14.23,191.4,0,216.5,99,116,112,415,3,MI,1017,0
80,4.29,8.88,0,0,15.9,21.73,181.6,2,15.44,127.8,0,197.3,112,67,63,415,2,NE,1018,0
137,2.16,11.46,0,0,8.0,23.99,147.2,7,12.51,141.1,0,254.7,100,91,75,415,2,AZ,1019,0
93,2.94,7.76,0,0,10.9,25.74,186.4,3,15.84,151.4,0,172.5,76,89,120,415,0,FL,1020,0
85,3.24,11.36,0,0,12.0,34.24,229.4,3,19.5,201.4,0,252.5,104,52,106,408,1,AZ,1021,0
145,2.43,10.83,0,0,9.0,41.79,286.7,13,24.37,245.8,0,240.7,91,116,115,415,1,ND,1022,1
168,1.97,7.85,22,0,7.3,29.9,211.7,5,17.99,175.9,1,174.5,105,70,81,415,2,SD,1023,0
135,1.59,9.77,0,0,5.9,40.78,177.1,3,15.05,239.9,0,217.2,104,91,118,415,2,MI,1024,0
94,4.35,5.31,28,0,16.1,39.64,113.3,4,9.63,233.2,1,118.0,102,88,71,510,0,KS,1025,0
101,3.16,9.45,0,1,11.7,22.7,219.6,4,18.67,133.5,0,210.0,96,51,74,415,1,MO,1026,0
70,1.54,11.55,0,0,5.7,36.28,204.7,4,17.4,213.4,0,256.6,77,86,101,415,1,NE,1027,0
132,1.81,10.1,0,0,6.7,33.17,148.8,2,12.65,195.1,0,224.5,95,100,117,408,0,MT,1028,0
76,2.27,7.92,0,0,8.4,34.61,161.7,3,13.74,203.6,0,175.9,127,61,97,408,0,GA,1029,0
155,2.16,9.66,0,0,8.0,32.35,301.3,3,25.61,190.3,0,214.6,96,123,134,415,1,NM,1030,0
146,2.84,9.71,0,1,10.5,18.89,313.4,6,26.64,111.1,0,215.7,95,126,82,415,1,VA,1031,0
120,2.84,6.87,0,0,10.5,23.34,212.2,2,18.04,137.3,0,152.7,129,100,92,415,1,MA,1032,0
96,3.02,4.42,0,1,11.2,34.1,289.5,5,24.61,200.6,0,98.3,120,117,95,415,2,AL,1033,0
74,3.7,10.86,25,0,13.7,39.85,265.9,4,22.6,234.4,1,241.4,82,113,77,415,0,TN,1034,0
45,2.62,10.34,0,0,9.7,16.34,246.8,4,20.98,96.1,0,229.7,134,103,92,415,1,DC,1035,0
190,2.7,10.94,0,1,10.0,19.02,223.0,7,18.96,111.9,0,243.2,124,55,81,415,3,MS,1036,0
74,2.65,11.94,0,0,9.8,23.24,228.6,4,19.43,136.7,0,265.3,105,106,114,415,0,OH,1037,0
111,2.27,10.93,0,0,8.4,48.35,157.0,8,13.35,284.4,0,242.8,113,89,91,415,0,MA,1038,1
105,1.03,7.61,0,0,3.8,41.89,256.2,4,21.78,246.4,0,169.0,101,83,151,510,0,ND,1039,0
